"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","WESD"
"USS0010E03S","CANYON, WY US","2024-12-31",,,,,"10","4.4"
"USS0010E03S","CANYON, WY US","2025-01-01","0.20","11","16","8","11","4.6"
"USS0010E03S","CANYON, WY US","2025-01-02","0.40","20","25","11","24","5.1"
"USS0010E03S","CANYON, WY US","2025-01-03","0.30","28","32","24","27","5.4"
"USS0010E03S","CANYON, WY US","2025-01-04","0.10","24","28","19","19","5.5"
"USS0010E03S","CANYON, WY US","2025-01-05","0.10","20","23","17","19","5.6"
"USS0010E03S","CANYON, WY US","2025-01-06","0.00","18","24","9","11","5.6"
"USS0010E03S","CANYON, WY US","2025-01-07","0.00","7","20","-7","-3","5.6"
"USS0010E03S","CANYON, WY US","2025-01-08","0.10","7","17","-5","3","5.7"
"USS0010E03S","CANYON, WY US","2025-01-09","0.00","6","20","-7","-7","5.7"
"USS0010E03S","CANYON, WY US","2025-01-10","0.30","9","18","-7","13","5.9"
"USS0010E03S","CANYON, WY US","2025-01-11","0.00","14","21","7","7","5.9"
"USS0010E03S","CANYON, WY US","2025-01-12","0.00","11","20","-3","-3","5.9"
"USS0010E03S","CANYON, WY US","2025-01-13","0.10","8","15","-3","9","6.0"
"USS0010E03S","CANYON, WY US","2025-01-14","0.00","11","15","7","12","6.0"
"USS0010E03S","CANYON, WY US","2025-01-15","0.00","17","27","6","8","6.0"
"USS0010E03S","CANYON, WY US","2025-01-16","0.00","17","31","1","21","6.0"
"USS0010E03S","CANYON, WY US","2025-01-17","0.00","9","21","-12","-12","6.0"
"USS0010E03S","CANYON, WY US","2025-01-18","0.00","-6","3","-19","-7","6.0"
"USS0010E03S","CANYON, WY US","2025-01-19","0.00","-4","7","-22","-21","6.0"
"USS0010E03S","CANYON, WY US","2025-01-20","0.00","-17","1","-37","-13","6.0"
"USS0010E03S","CANYON, WY US","2025-01-21","0.10","-1","10","-18","1","6.2"
"USS0010E03S","CANYON, WY US","2025-01-22","0.10","8","15","0","1","6.3"
"USS0010E03S","CANYON, WY US","2025-01-23","0.00","6","17","-6","1","6.3"
"USS0010E03S","CANYON, WY US","2025-01-24","0.00","6","17","-12","-12","6.3"
"USS0010E03S","CANYON, WY US","2025-01-25","0.00","-7","11","-23","-23","6.3"
"USS0010E03S","CANYON, WY US","2025-01-26","0.00","-9","15","-30","-12","6.3"
"USS0010E03S","CANYON, WY US","2025-01-27","0.00","2","24","-15","-1","6.3"
"USS0010E03S","CANYON, WY US","2025-01-28","0.00","9","30","-10","5","6.4"
"USS0010E03S","CANYON, WY US","2025-01-29","0.00","13","34","-3","4","6.4"
"USS0010E03S","CANYON, WY US","2025-01-30","0.00","11","35","-10","7","6.4"
"USS0010E03S","CANYON, WY US","2025-01-31","0.20","16","29","2","24","6.7"
"USS0010E03S","CANYON, WY US","2025-02-01","0.20","25","28","22","24","6.8"
