date,station,tmin,tmax,tavg,prcp,wesd
1995-10-01,USS0010E03S,-71.0,62,-1,0,0
1995-10-02,USS0010E03S,-117.0,73,-21,0,0
1995-10-03,USS0010E03S,-20.0,18,-3,102,102
1995-10-04,USS0010E03S,-48.0,-2,-25,0,102
1995-10-05,USS0010E03S,-99.0,24,-40,0,102
1995-10-06,USS0010E03S,-125.0,69,-26,25,102
1995-10-07,USS0010E03S,-91.0,20,-25,25,203
1995-10-08,USS0010E03S,-113.0,25,-36,102,203
1995-10-09,USS0010E03S,-67.0,80,-5,0,203
1995-10-10,USS0010E03S,-61.0,109,18,25,203
1995-10-11,USS0010E03S,-28.0,163,54,25,203
1995-10-12,USS0010E03S,-90.0,66,-21,0,203
1995-10-13,USS0010E03S,-90.0,14,-44,0,203
1995-10-14,USS0010E03S,-110.0,85,-19,25,229
1995-10-15,USS0010E03S,-64.0,148,18,25,229
1995-10-16,USS0010E03S,-66.0,106,18,51,203
1995-10-17,USS0010E03S,-55.0,60,11,0,203
1995-10-18,USS0010E03S,-63.0,52,-8,76,203
1995-10-19,USS0010E03S,-103.0,51,-39,0,152
1995-10-20,USS0010E03S,-108.0,97,-11,102,178
1995-10-21,USS0010E03S,-55.0,46,-29,0,178
1995-10-22,USS0010E03S,-168.0,-20,-68,25,178
1995-10-23,USS0010E03S,-200.0,11,-93,0,178
1995-10-24,USS0010E03S,-108.0,35,-43,0,178
1995-10-25,USS0010E03S,-53.0,46,-3,25,178
1995-10-26,USS0010E03S,-87.0,52,-7,0,254
1995-10-27,USS0010E03S,-98.0,26,-31,25,254
1995-10-28,USS0010E03S,-91.0,26,-23,0,254
1995-10-29,USS0010E03S,-53.0,47,-13,25,254
1995-10-30,USS0010E03S,-79.0,2,-49,0,254
1995-10-31,USS0010E03S,-137.0,-6,-79,0,254
1995-11-01,USS0010E03S,-221.0,-90,-161,0,254
1995-11-02,USS0010E03S,-255.0,-69,-163,0,254
1995-11-03,USS0010E03S,-216.0,-30,-130,25,254
1995-11-04,USS0010E03S,-207.0,-2,-101,51,254
1995-11-05,USS0010E03S,-73.0,-11,-41,76,305
1995-11-06,USS0010E03S,-153.0,-34,-82,0,356
1995-11-07,USS0010E03S,-154.0,-10,-56,25,406
1995-11-08,USS0010E03S,-15.0,27,5,25,483
1995-11-09,USS0010E03S,-105.0,10,-41,0,533
1995-11-10,USS0010E03S,-176.0,-64,-118,0,533
1995-11-11,USS0010E03S,-91.0,-1,-35,356,787
1995-11-12,USS0010E03S,-29.0,9,-11,0,813
1995-11-13,USS0010E03S,-32.0,16,-5,0,813
1995-11-14,USS0010E03S,-57.0,47,2,0,813
1995-11-15,USS0010E03S,-67.0,48,-18,0,838
1995-11-16,USS0010E03S,-72.0,65,-14,0,838
1995-11-17,USS0010E03S,-41.0,50,-3,25,838
1995-11-18,USS0010E03S,-70.0,76,-3,0,889
1995-11-19,USS0010E03S,-150.0,9,-55,0,914
1995-11-20,USS0010E03S,-185.0,6,-107,0,914
1995-11-21,USS0010E03S,-156.0,29,-61,0,914
1995-11-22,USS0010E03S,-40.0,32,-11,25,914
1995-11-23,USS0010E03S,-36.0,25,-3,0,914
1995-11-24,USS0010E03S,-1.0,33,12,0,940
1995-11-25,USS0010E03S,-6.0,37,18,127,1143
1995-11-26,USS0010E03S,-106.0,-7,-47,25,1245
1995-11-27,USS0010E03S,-128.0,-49,-91,51,1295
1995-11-28,USS0010E03S,-85.0,-8,-46,279,1448
1995-11-29,USS0010E03S,-11.0,7,-2,76,1473
1995-11-30,USS0010E03S,-3.0,8,2,102,1600
1995-12-01,USS0010E03S,-10.0,28,10,76,1702
1995-12-02,USS0010E03S,-86.0,-10,-56,127,1803
1995-12-03,USS0010E03S,-145.0,-41,-83,25,1854
1995-12-04,USS0010E03S,-159.0,-11,-58,102,1956
1995-12-05,USS0010E03S,-177.0,-45,-93,51,1981
1995-12-06,USS0010E03S,-149.0,-43,-93,0,2007
1995-12-07,USS0010E03S,-131.0,-36,-82,25,2057
1995-12-08,USS0010E03S,-254.0,-112,-184,0,2057
1995-12-09,USS0010E03S,-287.0,-36,-149,51,2108
1995-12-10,USS0010E03S,-33.0,0,-14,51,2134
1995-12-11,USS0010E03S,-15.0,18,-4,0,2159
1995-12-12,USS0010E03S,-17.0,6,-6,178,2286
1995-12-13,USS0010E03S,-51.0,-11,-38,51,2362
1995-12-14,USS0010E03S,-63.0,-31,-51,0,2362
1995-12-15,USS0010E03S,-86.0,0,-47,25,2362
1995-12-16,USS0010E03S,-162.0,-22,-80,25,2362
1995-12-17,USS0010E03S,-222.0,-71,-161,0,2362
1995-12-18,USS0010E03S,-219.0,-83,-156,0,2362
1995-12-19,USS0010E03S,-236.0,-97,-178,51,2388
1995-12-20,USS0010E03S,-245.0,-104,-164,25,2388
1995-12-21,USS0010E03S,-251.0,-60,-155,0,2388
1995-12-22,USS0010E03S,-280.0,-115,-209,0,2413
1995-12-23,USS0010E03S,-284.0,-106,-206,25,2413
1995-12-24,USS0010E03S,-256.0,-78,-184,0,2413
1995-12-25,USS0010E03S,-270.0,-86,-192,0,2413
1995-12-26,USS0010E03S,-277.0,-88,-197,0,2413
1995-12-27,USS0010E03S,-290.0,-111,-213,0,2413
1995-12-28,USS0010E03S,-283.0,-96,-196,0,2413
1995-12-29,USS0010E03S,-186.0,-54,-106,25,2413
1995-12-30,USS0010E03S,-95.0,-39,-63,0,2413
1995-12-31,USS0010E03S,-131.0,-32,-67,0,2413
1996-01-01,USS0010E03S,-231.0,-70,-125,0,2438
1996-01-02,USS0010E03S,-259.0,-113,-161,51,2540
1996-01-03,USS0010E03S,-116.0,-15,-65,51,2616
1996-01-04,USS0010E03S,-188.0,-95,-133,51,2642
1996-01-05,USS0010E03S,-220.0,-85,-166,25,2667
1996-01-06,USS0010E03S,-211.0,-78,-136,25,2692
1996-01-07,USS0010E03S,-98.0,-26,-57,0,2692
1996-01-08,USS0010E03S,-86.0,-3,-36,0,2692
1996-01-09,USS0010E03S,-38.0,-1,-25,51,2794
1996-01-10,USS0010E03S,-72.0,-18,-52,51,2794
1996-01-11,USS0010E03S,-177.0,-20,-81,0,2794
1996-01-12,USS0010E03S,-217.0,-21,-129,25,2819
1996-01-13,USS0010E03S,-191.0,8,-108,0,2819
1996-01-14,USS0010E03S,-149.0,6,-65,0,2819
1996-01-15,USS0010E03S,-101.0,0,-39,51,2896
1996-01-16,USS0010E03S,-64.0,-25,-48,25,2972
1996-01-17,USS0010E03S,-280.0,-56,-156,25,2972
1996-01-18,USS0010E03S,-334.0,-129,-227,0,2997
1996-01-19,USS0010E03S,-174.0,-70,-117,127,3073
1996-01-20,USS0010E03S,-119.0,-52,-90,51,3150
1996-01-21,USS0010E03S,-176.0,-56,-85,178,3277
1996-01-22,USS0010E03S,-215.0,-63,-153,0,3277
